BBBAABBBB,BBBAAAABBBB
ABAAB,AABAAAAB
BB,BB
BABAB,BAABAAB
BABB,BAABB
A,AA
B,B
ABBAABA,AABBAAAABAA
BBAABA,BBAAAABAA
A,AA
AAB,AAAAB
BAAA,BAAAAAA
ABBB,AABBB
BBA,BBAA
BA,BAA
BAAAAA,BAAAAAAAAAA
BBABBBA,BBAABBBAA
ABABAA,AABAABAAAA
AABBBBAAA,AAAABBBBAAAAAA
BAB,BAAB
BAAABBAB,BAAAAAABBAAB
ABA,AABAA
BBBAA,BBBAAAA
BBBBBBBBB,BBBBBBBBB
ABABAAA,AABAABAAAAAA
ABABB,AABAABB
BABB,BAABB
BABAAAAA,BAABAAAAAAAAAA
ABBBBBAA,AABBBBBAAAA
BBAAAAAAB,BBAAAAAAAAAAAAB
AB,AAB
BBBABAAA,BBBAABAAAAAA
ABABBAB,AABAABBAAB
AB,AAB
BBAAABBAA,BBAAAAAABBAAAA
BB,BB
AABBBA,AAAABBBAA
AAABBB,AAAAAABBB
A,AA
BBAABBABA,BBAAAABBAABAA
AA,AAAA
BBBBBAAAA,BBBBBAAAAAAAA
B,B
BABABAAB,BAABAABAAAAB
BBAABA,BBAAAABAA
BABB,BAABB
BAABAAAB,BAAAABAAAAAAB
BAABA,BAAAABAA
BBAABBBB,BBAAAABBBB
AABA,AAAABAA
BBA,BBAA
B,B
A,AA
BABABAAAB,BAABAABAAAAAAB
BABAAA,BAABAAAAAA
BABBAAAAB,BAABBAAAAAAAAB
BAAAABABA,BAAAAAAAABAABAA
BBBAABBA,BBBAAAABBAA
BBBBAB,BBBBAAB
BABBB,BAABBB
BBA,BBAA
ABB,AABB
BABBBBA,BAABBBBAA
ABA,AABAA
ABBAAAA,AABBAAAAAAAA
BBB,BBB
BBBBBBAB,BBBBBBAAB
BBAAAAB,BBAAAAAAAAB
BAAABBAB,BAAAAAABBAAB
AA,AAAA
A,AA
AAAA,AAAAAAAA
AAAAA,AAAAAAAAAA
BB,BB
AAAABABB,AAAAAAAABAABB
AAABBA,AAAAAABBAA
AAABBAA,AAAAAABBAAAA
BAABAAA,BAAAABAAAAAA
AABBBB,AAAABBBB
BAAABAA,BAAAAAABAAAA
AAAAAABA,AAAAAAAAAAAABAA
BBBAABB,BBBAAAABB
B,B
A,AA
AB,AAB
AABAAA,AAAABAAAAAA
BB,BB
AABBB,AAAABBB
BBAA,BBAAAA
ABAB,AABAAB
AB,AAB
B,B
BA,BAA
AA,AAAA
BBA,BBAA
AABAA,AAAABAAAA
BABABBB,BAABAABBB
A,AA
BBAABB,BBAAAABB
BAABBABAB,BAAAABBAABAAB
BAB,BAAB
AB,AAB
BBBBAB,BBBBAAB
BABBA,BAABBAA
B,B
ABBAABAA,AABBAAAABAAAA
B,B
A,AA
BABA,BAABAA
AAAA,AAAAAAAA
BABBBBBB,BAABBBBBB
ABBBA,AABBBAA
AAB,AAAAB
A,AA
BBAB,BBAAB
BABBAAABB,BAABBAAAAAABB
BAABBB,BAAAABBB
BABAA,BAABAAAA
AABBAAAAB,AAAABBAAAAAAAAB
AABAAB,AAAABAAAAB
BBBBBBA,BBBBBBAA
ABBBB,AABBBB
B,B
BAABABBAB,BAAAABAABBAAB
BA,BAA
BBBBAABBA,BBBBAAAABBAA
BB,BB
A,AA
B,B
BAABBBAA,BAAAABBBAAAA
AAA,AAAAAA
ABB,AABB
BBA,BBAA
AA,AAAA
BAAABABB,BAAAAAABAABB
AAAAAAB,AAAAAAAAAAAAB
BB,BB
AABBBBABA,AAAABBBBAABAA
BBABBBA,BBAABBBAA
AABBA,AAAABBAA
BBABAABAB,BBAABAAAABAAB
AAABA,AAAAAABAA
AABBA,AAAABBAA
BB,BB
AAAABAABA,AAAAAAAABAAAABAA
BBBAAAAA,BBBAAAAAAAAAA
AABAB,AAAABAAB
AAAABBBA,AAAAAAAABBBAA
A,AA
BBABBBB,BBAABBBB
AAAAB,AAAAAAAAB
AAABAABA,AAAAAABAAAABAA
AAABBAB,AAAAAABBAAB
A,AA
BBBBBBABB,BBBBBBAABB
AABAA,AAAABAAAA
BAABBBBBA,BAAAABBBBBAA
BAAA,BAAAAAA
A,AA
BABAAAAA,BAABAAAAAAAAAA
BABBBBB,BAABBBBB
BBB,BBB
AABBABB,AAAABBAABB
AB,AAB
BBB,BBB
ABAABBAAA,AABAAAABBAAAAAA
ABBBAABB,AABBBAAAABB
ABBBB,AABBBB
BBBBABA,BBBBAABAA
AAABBA,AAAAAABBAA
ABB,AABB
ABBBABBA,AABBBAABBAA
ABBBBB,AABBBBB
AAABABA,AAAAAABAABAA
BABAAAAB,BAABAAAAAAAAB
B,B
ABABBBA,AABAABBBAA
BABABA,BAABAABAA
ABAA,AABAAAA
BABAA,BAABAAAA
ABABB,AABAABB
AB,AAB
B,B
BBAABAA,BBAAAABAAAA
ABAA,AABAAAA
BAABAABAB,BAAAABAAAABAAB
ABBAABAB,AABBAAAABAAB
AABBAAA,AAAABBAAAAAA
BABABBBBA,BAABAABBBBAA
BB,BB
ABAABAB,AABAAAABAAB
BBAABBBBB,BBAAAABBBBB
AABBAB,AAAABBAAB
AB,AAB
BAABABA,BAAAABAABAA
BB,BB
BBBABAABA,BBBAABAAAABAA
BBAAA,BBAAAAAA
BABAB,BAABAAB
AAABBAAAA,AAAAAABBAAAAAAAA
B,B
BA,BAA
ABAABBBB,AABAAAABBBB
BBBAABA,BBBAAAABAA
BA,BAA
ABBBBABAB,AABBBBAABAAB
ABBBAAAA,AABBBAAAAAAAA
BAAB,BAAAAB
BBBAAA,BBBAAAAAA
BBBB,BBBB
BBBAAB,BBBAAAAB
AAAB,AAAAAAB
ABBBBBBBA,AABBBBBBBAA
A,AA
ABBAABBA,AABBAAAABBAA
BA,BAA
ABAABABAA,AABAAAABAABAAAA
AAAAABBB,AAAAAAAAAABBB
BAABABA,BAAAABAABAA
B,B
BAAAABA,BAAAAAAAABAA
AABAABB,AAAABAAAABB
BAAB,BAAAAB
A,AA
BBABABBBA,BBAABAABBBAA
AB,AAB
BBBA,BBBAA
AB,AAB
BABA,BAABAA
BBAAAB,BBAAAAAAB
ABBAAB,AABBAAAAB
BBA,BBAA
A,AA
BBAAAA,BBAAAAAAAA
ABBAABAB,AABBAAAABAAB
AAB,AAAAB
ABBAABAA,AABBAAAABAAAA
AAABB,AAAAAABB
ABABB,AABAABB
BBABB,BBAABB
AABABAAAB,AAAABAABAAAAAAB
BAABABBA,BAAAABAABBAA
BBBAAABAB,BBBAAAAAABAAB
BB,BB
BBBABA,BBBAABAA
B,B
ABABBB,AABAABBB
ABB,AABB
BABBBA,BAABBBAA
AABABAAA,AAAABAABAAAAAA
BAABBBBA,BAAAABBBBAA
AA,AAAA
AABBB,AAAABBB
ABABAAABA,AABAABAAAAAABAA
ABBAABB,AABBAAAABB
BBAAAA,BBAAAAAAAA
ABAAABBBA,AABAAAAAABBBAA
ABAABAB,AABAAAABAAB
AA,AAAA
BAAAA,BAAAAAAAA
B,B
AABAABBBA,AAAABAAAABBBAA
AAAAAB,AAAAAAAAAAB
BBBAABB,BBBAAAABB
ABBBBA,AABBBBAA
BBAABA,BBAAAABAA
ABBAAA,AABBAAAAAA
ABBAB,AABBAAB
AB,AAB
ABBABBB,AABBAABBB
AAB,AAAAB
BBBBABA,BBBBAABAA
BBB,BBB
AAAAAA,AAAAAAAAAAAA
AB,AAB
ABBBBAB,AABBBBAAB
AAABBABA,AAAAAABBAABAA
BAAABAAA,BAAAAAABAAAAAA
AB,AAB
A,AA
B,B
AA,AAAA
AABAAA,AAAABAAAAAA
AAB,AAAAB
ABAABBA,AABAAAABBAA
AABBBAB,AAAABBBAAB
BABA,BAABAA
AAABB,AAAAAABB
ABB,AABB
BB,BB
BA,BAA
AABA,AAAABAA
ABABAAB,AABAABAAAAB
BABA,BAABAA
B,B
AAB,AAAAB
AAA,AAAAAA
AABBB,AAAABBB
BAA,BAAAA
B,B
BBB,BBB
AABAABBBB,AAAABAAAABBBB
BABABABBB,BAABAABAABBB
BAABBBA,BAAAABBBAA
BBABBBBBB,BBAABBBBBB
BBBBAABA,BBBBAAAABAA
ABABBBAB,AABAABBBAAB
ABBBABAAB,AABBBAABAAAAB
BBABAAA,BBAABAAAAAA
AAAAAA,AAAAAAAAAAAA
BAAB,BAAAAB
AAABBABBA,AAAAAABBAABBAA
B,B
AABABB,AAAABAABB
BAABAABB,BAAAABAAAABB
BBA,BBAA
BBA,BBAA
AB,AAB
ABABBB,AABAABBB
BABBBABB,BAABBBAABB
ABBBAABBA,AABBBAAAABBAA
B,B
BAAAB,BAAAAAAB
BBAAAABBA,BBAAAAAAAABBAA
BBABBBBA,BBAABBBBAA
BABAAAAAB,BAABAAAAAAAAAAB
BBBABB,BBBAABB
BBAABAA,BBAAAABAAAA
ABBA,AABBAA
AABAAB,AAAABAAAAB
BBBBAABBA,BBBBAAAABBAA
AB,AAB
ABBBAAAAA,AABBBAAAAAAAAAA
BA,BAA
BAAB,BAAAAB
BBBA,BBBAA
BABABA,BAABAABAA
AABBBB,AAAABBBB
B,B
ABBBABBAA,AABBBAABBAAAA
BA,BAA
BAA,BAAAA
AABBAB,AAAABBAAB
A,AA
AABBAAB,AAAABBAAAAB
BAABABBA,BAAAABAABBAA
AAABABB,AAAAAABAABB
BABAB,BAABAAB
ABABB,AABAABB
BBB,BBB
BAAA,BAAAAAA
AABBBAB,AAAABBBAAB
ABA,AABAA
AAAAB,AAAAAAAAB
BA,BAA
ABAB,AABAAB
BB,BB
ABBAAAABB,AABBAAAAAAAABB
AAA,AAAAAA
BBAA,BBAAAA
AABBAABAA,AAAABBAAAABAAAA
B,B
BABBAA,BAABBAAAA
AA,AAAA
AA,AAAA
ABABA,AABAABAA
BAAAABAAB,BAAAAAAAABAAAAB
ABABAA,AABAABAAAA
AAB,AAAAB
AAABA,AAAAAABAA
BBBBAAAB,BBBBAAAAAAB
AABAABABB,AAAABAAAABAABB
BBAAA,BBAAAAAA
BABAB,BAABAAB
AB,AAB
AABBABA,AAAABBAABAA
ABABA,AABAABAA
BBBBAA,BBBBAAAA
ABBBBAA,AABBBBAAAA
BBABAAABA,BBAABAAAAAABAA
AAAAAAA,AAAAAAAAAAAAAA
BA,BAA
ABBABAABA,AABBAABAAAABAA
BAB,BAAB
AABAB,AAAABAAB
ABAABAABB,AABAAAABAAAABB
BAAAAABA,BAAAAAAAAAABAA
ABAB,AABAAB
ABAB,AABAAB
A,AA
ABB,AABB
AABAA,AAAABAAAA
B,B
AABAB,AAAABAAB
ABAAB,AABAAAAB
BBABBBB,BBAABBBB
BABBABBA,BAABBAABBAA
ABAAB,AABAAAAB
AAAA,AAAAAAAA
BABB,BAABB
AAB,AAAAB
BAABBBAB,BAAAABBBAAB
BAAAABA,BAAAAAAAABAA
ABABBB,AABAABBB
AAAABA,AAAAAAAABAA
B,B
AB,AAB
BABBBABB,BAABBBAABB
BAAB,BAAAAB
A,AA
A,AA
BABBA,BAABBAA
BBAAAA,BBAAAAAAAA
B,B
BBA,BBAA
ABB,AABB
AAAB,AAAAAAB
AA,AAAA
BAABABABA,BAAAABAABAABAA
AB,AAB
BB,BB
AAAAB,AAAAAAAAB
BAAAABA,BAAAAAAAABAA
AABBAAB,AAAABBAAAAB
B,B
BABBAABBA,BAABBAAAABBAA
BBABB,BBAABB
ABBBBBA,AABBBBBAA
AABB,AAAABB
AA,AAAA
BAABABBAB,BAAAABAABBAAB
AAAB,AAAAAAB
BBBBAAA,BBBBAAAAAA
BAABAAAB,BAAAABAAAAAAB
BABBBABBB,BAABBBAABBB
AAA,AAAAAA
BB,BB
AAAABA,AAAAAAAABAA
ABB,AABB
BAA,BAAAA
BA,BAA
ABAAABA,AABAAAAAABAA
AB,AAB
BBAABBBBA,BBAAAABBBBAA
ABBBBAAAA,AABBBBAAAAAAAA
ABABBBABA,AABAABBBAABAA
BABAABB,BAABAAAABB
A,AA
BABABAAA,BAABAABAAAAAA
AB,AAB
B,B
BBBBBBA,BBBBBBAA
B,B
AAABAABB,AAAAAABAAAABB
AABABABB,AAAABAABAABB
AAA,AAAAAA
BABABAAA,BAABAABAAAAAA
AAABAABBB,AAAAAABAAAABBB
AAABAA,AAAAAABAAAA
BB,BB
A,AA
AA,AAAA
BABB,BAABB
BA,BAA
ABABBBAA,AABAABBBAAAA
ABAAAAB,AABAAAAAAAAB
BBAABBAA,BBAAAABBAAAA
BBA,BBAA
A,AA
AAA,AAAAAA
ABA,AABAA
A,AA
AB,AAB
ABABAB,AABAABAAB
BBAB,BBAAB
A,AA
ABABABABB,AABAABAABAABB
BAA,BAAAA
AAABAABAB,AAAAAABAAAABAAB
AABAAAAB,AAAABAAAAAAAAB
BBBAAA,BBBAAAAAA
AAAAAB,AAAAAAAAAAB
BBBAAABB,BBBAAAAAABB
BAA,BAAAA
BABAABBAB,BAABAAAABBAAB
BAAA,BAAAAAA
BAABB,BAAAABB
BBBBBABBB,BBBBBAABBB
BABA,BAABAA
A,AA
ABBA,AABBAA
AAAABABBB,AAAAAAAABAABBB
AB,AAB
B,B
BAABBB,BAAAABBB
BBB,BBB
ABBBBABA,AABBBBAABAA
AB,AAB
AAAABAAAB,AAAAAAAABAAAAAAB
B,B
AAB,AAAAB
ABBBBBAA,AABBBBBAAAA
BABBABBAB,BAABBAABBAAB
BBBBAB,BBBBAAB
BBAAAA,BBAAAAAAAA
AABBBB,AAAABBBB
BAAA,BAAAAAA
AAAAB,AAAAAAAAB
ABBAA,AABBAAAA
BBAAAAA,BBAAAAAAAAAA
BBBBBABAB,BBBBBAABAAB
BABBABAB,BAABBAABAAB
BABBBBABB,BAABBBBAABB
AABB,AAAABB
BAABBBAB,BAAAABBBAAB
BBBABAABA,BBBAABAAAABAA
A,AA
BAABABB,BAAAABAABB
ABBAB,AABBAAB
BBAABAABB,BBAAAABAAAABB
A,AA
AABBBB,AAAABBBB
BBBA,BBBAA
BBABBABB,BBAABBAABB
AABBBBBB,AAAABBBBBB
ABAAA,AABAAAAAA
BA,BAA
ABBAB,AABBAAB
AAABBBABB,AAAAAABBBAABB
BBABB,BBAABB
BABBA,BAABBAA
B,B
B,B
AABBABBA,AAAABBAABBAA
BA,BAA
ABAABBABB,AABAAAABBAABB
AAA,AAAAAA
AABA,AAAABAA
AABAAAABB,AAAABAAAAAAAABB
AB,AAB
BBAAAABB,BBAAAAAAAABB
ABAB,AABAAB
ABABBB,AABAABBB
BA,BAA
BABABB,BAABAABB
ABBABBA,AABBAABBAA
BAB,BAAB
BABBBBBA,BAABBBBBAA
AAA,AAAAAA
ABBBA,AABBBAA
ABA,AABAA
AAAB,AAAAAAB
ABB,AABB
BBAABA,BBAAAABAA
ABABBBAB,AABAABBBAAB
BBAABBAA,BBAAAABBAAAA
ABAAB,AABAAAAB
AB,AAB
BBABAAB,BBAABAAAAB
B,B
ABAAA,AABAAAAAA
AABBBBAAA,AAAABBBBAAAAAA
BBBB,BBBB
BAAAAAA,BAAAAAAAAAAAA
BBBBABBA,BBBBAABBAA
AABBBAAA,AAAABBBAAAAAA
ABBBB,AABBBB
BAAAB,BAAAAAAB
AAAABABBA,AAAAAAAABAABBAA
AABABAB,AAAABAABAAB
BB,BB
B,B
BAAAAB,BAAAAAAAAB
ABABB,AABAABB
BAB,BAAB
AAAABBA,AAAAAAAABBAA
ABBA,AABBAA
BA,BAA
AAA,AAAAAA
ABBBA,AABBBAA
ABAB,AABAAB
ABBA,AABBAA
ABABBA,AABAABBAA
BABAAA,BAABAAAAAA
BBBABBAB,BBBAABBAAB
BAAABAB,BAAAAAABAAB
BBBAA,BBBAAAA
AAABA,AAAAAABAA
ABA,AABAA
AABBBBB,AAAABBBBB
BAABBAB,BAAAABBAAB
ABABB,AABAABB
BBBABAAA,BBBAABAAAAAA
BBBAABAA,BBBAAAABAAAA
BABBBAB,BAABBBAAB
AAA,AAAAAA
ABBA,AABBAA
ABB,AABB
ABBB,AABBB
AAB,AAAAB
ABBBBABBB,AABBBBAABBB
ABA,AABAA
AAAAB,AAAAAAAAB
AABAB,AAAABAAB
AA,AAAA
A,AA
BABA,BAABAA
ABBBBBBAB,AABBBBBBAAB
BBAAABB,BBAAAAAABB
BBABBABB,BBAABBAABB
ABAAAB,AABAAAAAAB
AAAAAAAA,AAAAAAAAAAAAAAAA
ABB,AABB
B,B
ABBAB,AABBAAB
AABBBB,AAAABBBB
BBBBBAABA,BBBBBAAAABAA
AAABBBA,AAAAAABBBAA
BA,BAA
BBAA,BBAAAA
BAAA,BAAAAAA
ABAA,AABAAAA
B,B
ABBA,AABBAA
AABBB,AAAABBB
BAABBBABB,BAAAABBBAABB
ABAABBAB,AABAAAABBAAB
AABBABAAA,AAAABBAABAAAAAA
BBAAABA,BBAAAAAABAA
BBBBBA,BBBBBAA
BABABAABB,BAABAABAAAABB
ABABBB,AABAABBB
ABAA,AABAAAA
ABAAAAA,AABAAAAAAAAAA
AB,AAB
AA,AAAA
ABB,AABB
BAB,BAAB
B,B
AAABAB,AAAAAABAAB
AAAAB,AAAAAAAAB
AB,AAB
BB,BB
A,AA
BBBAABA,BBBAAAABAA
BAAA,BAAAAAA
BBB,BBB
ABBBBAAB,AABBBBAAAAB
BAAAABBAB,BAAAAAAAABBAAB
BA,BAA
BAAB,BAAAAB
ABBBBBAB,AABBBBBAAB
BBBABAAA,BBBAABAAAAAA
BBA,BBAA
B,B
AB,AAB
BAABABAAA,BAAAABAABAAAAAA
BBA,BBAA
B,B
BB,BB
AA,AAAA
BBBAB,BBBAAB
BBBBAAABA,BBBBAAAAAABAA
AABBBAAAA,AAAABBBAAAAAAAA
BBBABB,BBBAABB
BBBBBB,BBBBBB
BBAABAB,BBAAAABAAB
BBBA,BBBAA
AABBAAB,AAAABBAAAAB
BABBAAB,BAABBAAAAB
ABBABB,AABBAABB
BABBABAA,BAABBAABAAAA
BBBBABBA,BBBBAABBAA
BAB,BAAB
ABABB,AABAABB
BAABA,BAAAABAA
ABBABAA,AABBAABAAAA
BBABBAAB,BBAABBAAAAB
BBAB,BBAAB
ABBA,AABBAA
AABBAAABA,AAAABBAAAAAABAA
AABAA,AAAABAAAA
BBBABA,BBBAABAA
BABBBAAB,BAABBBAAAAB
AAAB,AAAAAAB
BABAAAA,BAABAAAAAAAA
BBAB,BBAAB
BBABAAB,BBAABAAAAB
BABBBABA,BAABBBAABAA
BBBA,BBBAA
ABBA,AABBAA
ABAAB,AABAAAAB
BABAAB,BAABAAAAB
AAB,AAAAB
AABBAAA,AAAABBAAAAAA
A,AA
BABBABBA,BAABBAABBAA
AAA,AAAAAA
AAAB,AAAAAAB
BBAABABB,BBAAAABAABB
BAAB,BAAAAB
ABBBABB,AABBBAABB
AABAA,AAAABAAAA
BAB,BAAB
BABAA,BAABAAAA
ABBAABBBB,AABBAAAABBBB
BBA,BBAA
BAAAAB,BAAAAAAAAB
BAABAAA,BAAAABAAAAAA
BA,BAA
ABB,AABB
BABABAA,BAABAABAAAA
BB,BB
BABABAAAB,BAABAABAAAAAAB
B,B
AAABB,AAAAAABB
ABBBAA,AABBBAAAA
AAABA,AAAAAABAA
BBABB,BBAABB
ABBAA,AABBAAAA
BAA,BAAAA
BB,BB
ABBBBBBA,AABBBBBBAA
BABBBBABB,BAABBBBAABB
ABABAAA,AABAABAAAAAA
AABBB,AAAABBB
BAAABAB,BAAAAAABAAB
BAABBAABB,BAAAABBAAAABB
ABA,AABAA
BAAABABB,BAAAAAABAABB
B,B
A,AA
AAAA,AAAAAAAA
BAAA,BAAAAAA
BB,BB
BAABAAA,BAAAABAAAAAA
BAAAA,BAAAAAAAA
A,AA
BABABA,BAABAABAA
BBBAB,BBBAAB
BBAABAA,BBAAAABAAAA
ABBBABBBB,AABBBAABBBB
AAAABB,AAAAAAAABB
ABBBAAA,AABBBAAAAAA
B,B
BABABA,BAABAABAA
ABBAAABB,AABBAAAAAABB
ABA,AABAA
BAABBBB,BAAAABBBB
A,AA
AAB,AAAAB
BAAABBA,BAAAAAABBAA
ABBA,AABBAA
BA,BAA
BAABBB,BAAAABBB
BAAAAAAA,BAAAAAAAAAAAAAA
B,B
AAABB,AAAAAABB
BBAAA,BBAAAAAA
BBB,BBB
ABBAA,AABBAAAA
ABAB,AABAAB
BBBABB,BBBAABB
BBBA,BBBAA
BBABBAB,BBAABBAAB
B,B
AABBBAA,AAAABBBAAAA
ABBABBAA,AABBAABBAAAA
BBBBABAAB,BBBBAABAAAAB
BA,BAA
ABBAB,AABBAAB
BABBA,BAABBAA
B,B
BBBAAA,BBBAAAAAA
ABAAAABA,AABAAAAAAAABAA
ABAAAA,AABAAAAAAAA
ABABBABAA,AABAABBAABAAAA
ABBABABA,AABBAABAABAA
BBBA,BBBAA
BABBABA,BAABBAABAA
B,B
BBABAB,BBAABAAB
A,AA
BB,BB
AABBBBBA,AAAABBBBBAA
BBBAAB,BBBAAAAB
AA,AAAA
BAABAA,BAAAABAAAA
BBAABAA,BBAAAABAAAA
BABAB,BAABAAB
ABBBAABA,AABBBAAAABAA
AABBBAAAB,AAAABBBAAAAAAB
A,AA
ABABAB,AABAABAAB
B,B
AAA,AAAAAA
BAAB,BAAAAB
AABA,AAAABAA
ABA,AABAA
BBABBBBA,BBAABBBBAA
BAAAAB,BAAAAAAAAB
BBBAAA,BBBAAAAAA
AA,AAAA
BB,BB
A,AA
AABBBBA,AAAABBBBAA
AAAABABBB,AAAAAAAABAABBB
B,B
BBBBABAA,BBBBAABAAAA
A,AA
BAA,BAAAA
AABBBBAA,AAAABBBBAAAA
BABA,BAABAA
ABBAAAB,AABBAAAAAAB
B,B
BBAABA,BBAAAABAA
BB,BB
ABA,AABAA
BABAAA,BAABAAAAAA
ABBBAAABA,AABBBAAAAAABAA
ABA,AABAA
BBABBAABB,BBAABBAAAABB
BBBABB,BBBAABB
BABAAB,BAABAAAAB
ABBABAB,AABBAABAAB
ABAA,AABAAAA
BBAABA,BBAAAABAA
AABBBBBB,AAAABBBBBB
BBBABBAA,BBBAABBAAAA
